 Excess kurtosis of the DM-SNR curve line, Excess kurtosis of the DM-SNR curve outlier candidate, Excess kurtosis of the integrated profile line, Excess kurtosis of the integrated profile outlier candidate, Mean of the DM-SNR curve line, Mean of the DM-SNR curve outlier candidate, Mean of the integrated profile line, Mean of the integrated profile outlier candidate, Skewness of the DM-SNR curve line, Skewness of the DM-SNR curve outlier candidate, Skewness of the integrated profile line, Skewness of the integrated profile outlier candidate, Standard deviation of the DM-SNR curve line, Standard deviation of the DM-SNR curve outlier candidate, Standard deviation of the integrated profile line, Standard deviation of the integrated profile outlier candidate
4.0,16.70025145,3.0,-0.094887839,2.0,0.971571906,23.0,160.6953125,26.0,646.0114,29.0,-0.646732341,26.0,8.687455738,65.0,67.01576116
26.0,23.80134612,21.0,-0.085951196,4.0,0.761705686,29.0,153.2265625,85.0,621.4272751,51.0,-0.472316151,70.0,9.903458863,77.0,60.2268417
70.0,16.75470729,23.0,-1.290738987,5.0,1.130434783,77.0,150.09375,113.0,435.6407877,58.0,-0.744919658,85.0,8.72880162,161.0,61.36690802
85.0,23.02068599,29.0,-0.176612355,26.0,0.574414716,124.0,147.1875,206.0,558.2128358,59.0,-0.556020931,106.0,9.585426502,211.0,60.85438994
106.0,18.37191841,30.0,-0.167040876,70.0,1.091973244,182.0,158.40625,356.0,542.7889663,65.0,-0.94416477,107.0,9.966955419,263.0,61.64989385
107.0,18.83762441,62.0,-0.082479963,76.0,0.950668896,185.0,160.171875,367.0,550.6007042,67.0,-0.547843035,113.0,10.06817456,297.0,62.29785621
113.0,19.65089069,69.0,-0.083100066,85.0,0.588628763,198.0,150.25,370.0,682.4238526,72.0,-0.374472947,119.0,9.747227093,304.0,60.23881864
119.0,17.73436684,77.0,-0.499946479,103.0,1.072742475,200.0,160.59375,404.0,665.2707706,77.0,-0.404308236,121.0,9.944516862,332.0,62.67949031
121.0,17.04873084,80.0,-0.065322332,106.0,0.861204013,205.0,167.265625,516.0,517.0981622,92.0,-0.577054832,206.0,8.959399109,347.0,69.39738826
126.0,18.147227,82.0,-0.383111275,107.0,0.663879599,243.0,143.7578125,650.0,584.3789446,98.0,-0.687688373,237.0,10.65915933,355.0,65.76618323
206.0,21.44159553,84.0,-0.101114174,111.0,1.147157191,273.0,147.1796875,666.0,533.3932663,141.0,-0.511846368,257.0,10.38961189,384.0,61.27112548
213.0,17.83922752,92.0,-0.149323113,113.0,0.688963211,334.0,157.4140625,685.0,1072.957979,144.0,-0.71180853,303.0,10.51618338,413.0,62.43180655
243.0,16.60416403,101.0,-0.164018805,119.0,0.950668896,359.0,161.546875,719.0,455.8824486,161.0,-0.406666122,311.0,10.15398619,444.0,67.27676483
257.0,16.8225932,107.0,-0.162202266,121.0,0.964882943,366.0,144.328125,831.0,531.9289113,171.0,-0.398383842,356.0,9.05189596,515.0,60.46752209
293.0,17.07908266,111.0,-0.13164121,126.0,0.693143813,392.0,145.546875,845.0,585.7534445,196.0,-0.417014716,358.0,10.46534078,523.0,61.80434729
311.0,17.52460409,124.0,-0.317051551,171.0,1.199832776,420.0,172.5625,896.0,470.9716559,199.0,-0.490855991,367.0,9.15378181,529.0,73.32377456
356.0,21.20130294,155.0,-0.100089046,181.0,1.109531773,491.0,144.703125,950.0,505.7928421,211.0,-0.5981894,370.0,8.488049207,547.0,77.07400563
358.0,15.46052425,157.0,-0.072119214,206.0,0.689799331,492.0,143.109375,955.0,453.3745152,230.0,-0.409028356,388.0,10.33697336,668.0,73.82474653
363.0,18.34771307,167.0,-0.078626992,213.0,0.799331104,512.0,147.359375,1069.0,452.2597196,248.0,-0.813721047,404.0,8.549305018,690.0,66.46426464
367.0,22.18283696,182.0,-0.64592281,215.0,1.234949833,522.0,148.546875,1145.0,771.1912299,263.0,-0.786591549,409.0,9.776978163,707.0,85.97090118
370.0,24.05379885,183.0,-0.075252362,232.0,1.029264214,541.0,157.5859375,1199.0,560.3515815,273.0,-0.40409455,441.0,10.56932375,780.0,90.25055726
404.0,23.73928716,185.0,-0.851336358,243.0,0.814381271,557.0,147.15625,1214.0,641.9650322,283.0,-0.470119865,486.0,10.03333483,790.0,61.61398347
409.0,18.28692566,194.0,-0.197473139,247.0,1.223244147,576.0,143.015625,1286.0,459.1656832,291.0,-0.500399575,516.0,9.151538016,858.0,69.27704233
441.0,15.58596639,198.0,-0.293358459,253.0,1.126254181,588.0,148.9296875,1314.0,471.3449512,297.0,-0.841093179,541.0,9.73532189,892.0,69.59838578
454.0,16.43494501,200.0,-0.386819851,257.0,0.821906355,609.0,159.078125,1368.0,456.7840829,316.0,-0.387154329,609.0,9.677674059,894.0,62.11376311
486.0,17.17751267,204.0,-0.231185029,293.0,0.763377926,649.0,145.203125,1430.0,464.2133496,320.0,-0.931859304,647.0,10.14909722,972.0,60.88744539
498.0,16.04164797,205.0,-1.243047959,303.0,1.176421405,661.0,150.5625,1438.0,1017.38318,322.0,-0.375457945,650.0,8.956368126,994.0,61.79631795
516.0,20.54318258,213.0,-0.189009852,311.0,0.821070234,695.0,145.15625,1524.0,800.1119478,330.0,-0.541216061,666.0,9.033148369,1056.0,60.36881883
518.0,18.41205002,238.0,-0.091161962,356.0,0.701505017,719.0,142.296875,1632.0,666.4879641,332.0,-0.951198188,685.0,7.565681088,1115.0,74.56008311
541.0,17.23539114,243.0,-0.272219529,358.0,1.10451505,741.0,143.21875,1726.0,469.6927063,341.0,-0.450628984,719.0,9.573145409,1189.0,60.30210403
