 Mean of the integrated profile, Excess kurtosis of the integrated profile, Skewness of the integrated profile, Standard deviation of the DM-SNR curve, Excess kurtosis of the DM-SNR curve, Skewness of the DM-SNR curve,target_class
120.203125,0.570941626,0.787799004,29.19459357,5.6190812,33.22576152,1
37.6015625,3.207215591,10.73454239,70.17710923,1.214005526,0.316266658,1
111.5,0.369225064,0.377322825,11.42201394,14.86292364,262.0944803,0
137.9296875,-0.094887839,0.131425498,18.10321837,9.198938946,94.39367647,1
107.4140625,0.327349864,1.114752056,12.09809011,16.70025145,290.5855103,0
113.9140625,0.176369676,0.57043538,11.69074943,14.60084853,254.7985642,0
132.234375,0.120973751,0.553818182,18.37618447,9.187442436,90.84411973,0
97.9921875,0.46665732,0.385781704,16.86082281,9.100715138,90.94162977,0
76.5,0.914434389,4.845041392,13.81102036,10.43919516,143.9423745,0
95.3515625,0.548971575,0.831718126,17.95048838,7.852977069,72.73314492,0
58.6328125,3.142086962,14.45405088,65.84515941,1.745324901,1.976719986,1
127.21875,0.002669671,-0.340639178,29.02281452,6.74557524,46.32887653,0
39.9765625,2.017403345,3.969447362,59.92481923,1.732845539,2.267167776,1
104.65625,0.211022923,0.387041064,17.34951507,8.387512313,81.0830325,0
100.1015625,0.987930764,1.798211427,92.79473124,-0.698226921,-1.302047088,0
112.71875,-0.018665361,-0.194670933,23.41805172,7.422643976,57.07679546,1
6.984375,7.454056179,56.35272065,50.6762013,0.802719867,0.627865868,1
87.7421875,0.770947305,3.106050368,34.34934168,4.82716741,22.56191967,0
31.5546875,4.509677724,20.79620463,82.66842762,-0.028206414,-1.195539487,1
49.078125,2.833534788,14.16353002,54.9140609,2.685933484,6.424923932,1
96.2109375,0.583217577,0.296429672,57.40501413,3.077298249,7.91641485,1
128.40625,-0.085951196,0.142485386,17.51851985,6.802576169,58.57111517,0
102.1015625,0.368438795,1.083553083,17.76996684,7.672233028,70.1696349,0
160.6953125,-1.290738987,1.540594276,108.7108265,-0.306557218,-1.818683091,0
119.546875,0.132766391,1.049137968,25.95131331,6.499651157,43.06361551,0
31.5859375,4.246281784,21.9462402,67.30250648,0.939808852,-0.0626975,1
120.09375,0.139785725,-0.083436963,8.687455738,23.80134612,646.0114,0
130.828125,-0.036792854,-0.11552055,17.35077271,9.059455541,94.35438679,0
108.171875,0.635277859,0.82140582,13.37664634,10.92801845,151.3269884,0
153.2265625,-0.176612355,-0.646732341,18.30766214,7.410275078,65.78452659,0
132.609375,-0.167040876,0.197890143,16.79430805,8.701871824,87.85924257,0
107.1328125,0.492391505,0.214160185,17.6680112,7.594308333,72.81326778,0
114.15625,0.077140839,-0.340147455,49.98212682,2.436105258,4.786010862,0
100.28125,0.2922813,0.066009718,20.49679985,7.929181493,68.25376179,0
105.0859375,0.25672944,0.828075535,12.8216674,11.27927956,169.274907,0
61.03125,2.813587479,13.14913531,54.4898623,2.57322153,5.97624269,1
91.0234375,0.320523518,0.719521477,11.70667781,11.80153271,201.4082611,1
34.5546875,4.849129377,27.61630924,74.58521321,1.052285558,-0.131875657,1
96.78125,0.240361964,0.250551474,48.79567114,3.167298605,8.739911586,0
118.09375,0.080480093,-0.053200804,12.55953694,14.22632744,239.5158424,0
50.359375,3.781356965,17.55919667,98.08345214,-0.225380169,-1.635938877,1
60.4296875,2.823168017,12.00849659,42.10036288,4.028247971,16.42605776,1
14.703125,7.218630762,52.86635443,57.25662724,1.058996114,1.258417581,1
73.515625,2.679638322,12.54898853,34.94638375,5.515590222,30.32201694,1
51.3046875,2.266264101,4.277561333,65.63761639,1.586397716,1.354502915,1
113.5,0.733194872,0.011067008,19.64164565,9.735816119,102.2003409,0
78.7265625,1.758215125,5.342940668,50.80872603,3.41357015,10.49062074,1
111.8046875,0.140358673,0.32357773,34.07952279,3.125181645,9.671569503,0
107.9453125,0.381744001,-0.006835562,24.10954514,6.53007428,45.4862323,0
121.1875,0.172262935,-0.241641262,12.77257511,11.80513852,177.8483249,0
134.984375,0.089377759,-0.320526436,14.90660289,8.207316424,92.20970173,0
98.4453125,0.555521009,-0.472316151,28.00882521,5.860684818,36.79069151,0
23.6484375,5.600685729,32.52986595,71.96415517,0.187530741,-0.65888801,1
68.90625,1.940449831,3.891114308,79.82689603,0.694073696,-0.785507585,1
78.6796875,1.339544781,4.643499047,35.42598426,4.442891013,19.22693734,1
25.6796875,6.935822553,50.08672082,46.49274054,3.325767809,10.97139756,1
108.875,0.404870992,0.429777215,14.57507749,8.87803484,103.3419525,0
120.6796875,0.059926302,-0.232699206,33.99798394,5.229231144,27.62588343,0
102.5703125,0.311495356,-0.744919658,15.45966797,8.30518007,88.95243813,0
124.3125,-0.012417701,-0.556020931,29.30826559,4.531382135,21.72514301,0
35.015625,4.047037688,18.55782727,64.7635067,1.294091502,0.83847887,1
85.1796875,0.756617028,1.511022836,19.19633115,8.102621064,74.65604343,0
137.6875,-0.082479963,0.033542577,16.75341874,8.450386872,90.9998608,0
32.0390625,5.179501506,31.39435415,58.66862347,2.203174346,4.210192528,1
78.8671875,1.02852671,4.438575083,33.06469278,5.246505462,27.10893309,1
129.0703125,0.06545556,-0.94416477,46.19832525,3.224168072,9.246702729,0
107.09375,0.274734023,0.277049267,31.83013726,4.896956136,24.00999439,0
138.7421875,0.093044284,-0.547843035,14.71742066,11.39321729,160.0013351,0
101.1484375,0.40245416,2.392719637,37.54188889,4.111448367,16.11483306,0
124.796875,-0.083100066,-0.235196198,17.11607572,8.881319639,95.70699435,0
121.6953125,-0.051609486,-0.283104246,9.903458863,16.75470729,376.380424,0
108.1328125,0.359194538,0.384454487,14.04191436,12.68281848,174.5671498,0
114.0703125,0.273841287,-0.374472947,15.91386822,9.907166669,115.6210281,0
65.15625,2.817301139,12.33461874,39.26471721,4.352119246,19.88382492,1
116.984375,0.331208949,-0.323931465,19.70244702,10.1310364,106.4989164,0
64.65625,2.30327916,8.67261914,64.43827409,1.582029261,1.462231647,1
109.2890625,0.352015361,0.219464333,13.87136585,15.34801701,243.3334623,1
150.09375,-0.499946479,-0.404308236,92.05843614,-0.340383697,-1.483730888,0
133.984375,-0.020779626,0.01825475,26.96538506,6.724417498,46.39116792,0
40.9296875,4.76063117,27.31095198,52.08142196,2.719680049,7.064026397,1
135.5546875,-0.065322332,-0.016150786,33.38126013,5.224843717,26.88936269,0
68.0,2.392634106,10.16685471,34.36608712,3.99602883,17.93412246,1
141.84375,-0.383111275,-0.044919785,65.46802301,-1.124110016,-0.558186186,0
52.9296875,2.581865705,6.350838241,70.36129731,0.138439946,-0.547592683,1
124.5390625,-0.101114174,-0.13931137,28.44978732,5.725481547,34.18060017,0
123.1796875,0.200360322,-0.233213754,8.72880162,23.02068599,621.4272751,0
89.6484375,1.045088822,3.143446654,11.06106062,13.37865865,253.6609828,0
104.5703125,0.39608451,0.270334561,18.98859423,7.665672071,65.18982161,0
52.046875,3.411746855,15.75031088,65.93652561,2.029982065,2.902273888,1
70.4140625,2.516344328,10.94399986,53.20625786,2.521580598,5.807819023,1
37.203125,4.897519937,27.49620967,78.80374241,0.226568015,-1.002375994,1
124.734375,0.553025789,0.0502338,20.82658363,9.636230006,98.77889252,0
132.0625,-0.149323113,-0.577054832,74.96508736,-0.99446926,-0.82673799,0
27.84375,4.389795732,19.11953438,54.4937932,1.310102109,1.083522105,1
54.625,2.202762448,10.56004668,80.69743589,1.304085539,0.116022665,1
123.5078125,0.010046973,0.603129642,29.66745858,5.107997289,28.40133067,0
69.234375,2.010625143,5.760894094,44.85330601,3.963575589,14.94381867,1
114.9765625,0.131796258,-0.175307083,21.97937592,8.318309993,77.4146956,0
117.0859375,0.116385176,-0.687688373,54.83638565,2.031590564,3.197074818,0
16.5234375,5.621086451,32.82642694,71.69499224,0.55342957,-0.41287012,1
109.171875,0.434616861,0.737121615,16.08218878,10.35694745,117.5187688,0
126.0,-0.164018805,0.200231347,14.47266873,11.43830604,149.9509538,0
110.8203125,0.211653419,1.138414087,25.91547525,5.68669672,35.83248481,0
80.3046875,0.718707645,2.79127957,11.65532991,15.04757304,263.2646607,0
52.296875,2.605324187,9.256108689,72.78769893,1.601763052,1.091596973,1
108.765625,0.559078083,1.217888147,22.02769872,6.98624433,56.17693198,0
102.9296875,0.527904703,1.032953637,9.585426502,18.37191841,430.9763115,0
120.890625,-0.162202266,0.145909642,9.966955419,18.83762441,408.995802,0
108.421875,0.152909944,0.021653915,55.63129881,2.961762332,7.24521251,0
134.046875,0.178290242,-0.257009912,14.41158012,10.23578671,130.352522,0
95.234375,0.446492419,0.338406362,13.60149526,11.81026392,159.6326241,0
126.4609375,-0.13164121,0.013633896,11.89397491,13.51508138,221.7158305,0
106.3046875,0.712812797,0.810930966,13.8478375,11.21633612,149.497783,0
118.0546875,0.228611597,0.318898714,10.06817456,19.65089069,435.6407877,0
