Diameter line,Diameter outlier candidate,Height line,Height outlier candidate,Length line,Length outlier candidate,Sex line,Sex outlier candidate,Shell weight line,Shell weight outlier candidate,Shucked weight line,Shucked weight outlier candidate,Viscera weight line,Viscera weight outlier candidate,Whole weight line,Whole weight outlier candidate
110.0,0.58,288.0,0.235,5.0,0.75,,,182.0,0.6205,266.0,1.1965,1487.0,0.55,182.0,2.302
182.0,0.6,503.0,0.23,182.0,0.765,,,237.0,0.6855,332.0,1.133,2347.0,0.76,266.0,2.505
266.0,0.625,507.0,0.24,266.0,0.755,,,266.0,0.6785,507.0,1.351,2495.0,0.59,557.0,2.8255
328.0,0.585,517.0,0.025,548.0,0.735,,,557.0,0.897,548.0,1.1705,2676.0,0.6415,1556.0,2.398
557.0,0.595,557.0,0.23,553.0,0.75,,,787.0,0.815,553.0,1.109,2945.0,0.575,1671.0,2.499
584.0,0.59,719.0,0.02,584.0,0.735,,,856.0,0.71,557.0,1.1465,2993.0,0.5745,2188.0,2.3235
590.0,0.58,787.0,0.23,793.0,0.735,,,1223.0,0.657,1556.0,1.128,3720.0,0.564,2344.0,2.657
711.0,0.58,810.0,0.02,880.0,0.75,,,1245.0,0.85,1562.0,1.1455,,,2347.0,2.7795
770.0,0.585,895.0,0.23,1009.0,0.735,,,1322.0,0.885,2056.0,1.2455,,,2430.0,2.333
885.0,0.58,952.0,0.23,1077.0,0.735,,,1446.0,0.885,2188.0,1.1495,,,2495.0,2.526
1009.0,0.59,1010.0,0.23,1140.0,0.76,,,1447.0,0.665,2344.0,1.4880000000000002,,,2676.0,2.5155
1010.0,0.585,1161.0,0.235,1218.0,0.75,,,1478.0,0.71,2347.0,1.3485,,,2711.0,2.55
1273.0,0.58,1222.0,1.13,1287.0,0.735,,,1671.0,0.7,2430.0,1.2395,,,2945.0,2.4925
1397.0,0.605,1296.0,0.0,1397.0,0.77,,,1781.0,0.675,2473.0,1.1565,,,2993.0,2.548
1424.0,0.58,1322.0,0.24,1424.0,0.755,,,1877.0,0.7975,2676.0,1.1155,,,3111.0,2.3305
1478.0,0.6,1403.0,0.0,1478.0,0.74,,,1881.0,0.6585,2945.0,1.1455,,,3278.0,2.381
1487.0,0.585,1435.0,0.025,1487.0,0.735,,,1883.0,0.725,2993.0,1.1945,,,3309.0,2.381
1556.0,0.585,1676.0,0.025,1542.0,0.74,,,1947.0,0.76,3073.0,1.2395,,,3721.0,2.555
1637.0,0.58,1877.0,0.25,1556.0,0.765,,,2040.0,0.65,3111.0,1.253,,,4013.0,2.5085
1671.0,0.585,2035.0,0.01,1671.0,0.745,,,2125.0,0.625,3721.0,1.1335,,,,
1683.0,0.58,2347.0,0.25,1729.0,0.74,,,2354.0,0.635,4013.0,1.232,,,,
1863.0,0.59,2366.0,0.23,1877.0,0.815,,,2430.0,0.6195,,,,,,
1877.0,0.65,2464.0,0.015,1881.0,0.775,,,2460.0,0.625,,,,,,
2188.0,0.595,2682.0,0.025,2188.0,0.74,,,2495.0,0.62,,,,,,
2344.0,0.63,2689.0,0.25,2344.0,0.78,,,2676.0,0.642,,,,,,
2345.0,0.6,2722.0,0.515,2347.0,0.775,,,2711.0,0.725,,,,,,
2347.0,0.63,2805.0,0.23,2430.0,0.735,,,2715.0,0.655,,,,,,
2366.0,0.6,2843.0,0.23,2460.0,0.735,,,2783.0,0.725,,,,,,
2460.0,0.59,2968.0,0.235,2473.0,0.745,,,2805.0,0.665,,,,,,
2495.0,0.63,2978.0,0.24,2495.0,0.8,,,2902.0,0.638,,,,,,
2676.0,0.62,3180.0,0.025,2505.0,0.745,,,2968.0,0.621,,,,,,
2945.0,0.605,3392.0,0.015,2646.0,0.745,,,2978.0,0.69,,,,,,
2968.0,0.6,3445.0,0.235,2676.0,0.77,,,2993.0,0.6745,,,,,,
2993.0,0.6,3541.0,0.23,2683.0,0.74,,,3194.0,1.005,,,,,,
3073.0,0.585,3948.0,0.24,2738.0,0.755,,,3278.0,0.624,,,,,,
3285.0,0.59,4010.0,0.235,2945.0,0.74,,,3344.0,0.63,,,,,,
3309.0,0.58,4013.0,0.235,2993.0,0.78,,,3348.0,0.6459999999999999,,,,,,
3323.0,0.585,,,3309.0,0.74,,,3461.0,0.78,,,,,,
3344.0,0.595,,,3323.0,0.745,,,3600.0,0.62,,,,,,
3348.0,0.605,,,3344.0,0.75,,,3670.0,0.62,,,,,,
3402.0,0.58,,,3348.0,0.76,,,3719.0,0.726,,,,,,
3447.0,0.6,,,3447.0,0.77,,,3793.0,0.66,,,,,,
3689.0,0.585,,,3719.0,0.75,,,4013.0,0.612,,,,,,
3719.0,0.615,,,3721.0,0.735,,,4014.0,0.685,,,,,,
3721.0,0.6,,,3903.0,0.75,,,4019.0,0.643,,,,,,
3793.0,0.595,,,4013.0,0.75,,,,,,,,,,
3905.0,0.585,,,4113.0,0.74,,,,,,,,,,
3935.0,0.59,,,,,,,,,,,,,,
4013.0,0.61,,,,,,,,,,,,,,
