 Mean of the integrated profile, Standard deviation of the integrated profile, Excess kurtosis of the integrated profile, Skewness of the integrated profile, Standard deviation of the DM-SNR curve, Excess kurtosis of the DM-SNR curve, Skewness of the DM-SNR curve,target_class,class,cap-shape,cap-surface
37.3203125,41.67225801,3.754493514,14.52474198,75.56270212,0.738275666,-0.499831847,1,p,x,s
21.828125,32.0807354,5.674436569,33.19337966,83.18827615,-0.001290202,-1.224396453,1,e,x,s
82.53125,42.86970403,1.613626349,3.934068867,34.38197375,5.587993285,30.96937876,1,e,b,s
55.5,33.19097204,2.799066268,13.09123069,70.48327051,2.201154709,3.303330529,1,p,x,y
31.796875,34.8057914,4.327562238,20.43281951,62.44372697,1.843819367,2.581170151,1,,,
57.0546875,30.85634776,3.741482086,19.3972126,75.11738186,0.92067286,-0.302759175,1,e,x,y
91.5859375,45.86929926,0.540792016,0.914437269,25.49374496,7.937384726,63.53235477,1,e,b,s
46.015625,30.47565226,3.545051551,19.49501343,61.51964379,2.507846989,5.088718665,1,e,b,y
114.2265625,46.3816058,0.416414227,0.215440332,53.30781429,3.069775149,7.992743548,1,p,x,y
36.078125,36.01683837,3.98302081,17.22746074,71.02359959,1.225225465,0.487256339,1,e,b,s
42.2109375,35.01822123,4.385239948,20.81496821,63.10692302,1.98200815,2.898798361,1,e,x,y
43.5,28.49122672,4.334565003,26.33986977,75.5334114,1.706101856,1.403351821,1,e,x,y
113.0625,51.45792426,0.500761131,0.04358791,53.97153573,2.910393188,7.087740461,1,e,b,s
98.359375,51.19062634,1.057577732,0.759414072,94.92465242,-0.481317363,-1.497141153,1,p,x,y
32.8671875,44.12524276,2.532312287,6.453996205,79.13740115,0.576738892,-0.956042923,1,,,
51.015625,29.88231719,4.187785062,24.43205057,74.42049538,1.665057814,1.323526865,1,e,s,f
70.8828125,41.35547521,1.667338589,4.096050525,24.97697203,7.24159125,54.59931547,1,e,f,f
79.1484375,47.3128038,1.484287236,3.407429339,63.5653628,2.211150488,3.656578708,1,p,x,s
33.9140625,36.06895032,4.643580714,23.49087056,69.03956292,1.317854382,0.817816318,1,p,x,y
61.3984375,41.71917647,2.069210316,6.344919248,75.01623547,1.208300966,0.236256073,1,p,x,s
55.34375,47.06452311,2.27949841,5.515417343,49.66663661,2.870992511,8.138785645,1,e,b,s
115.15625,54.41326778,0.389621738,-0.129343322,21.17554032,9.289008901,93.01545005,1,p,x,y
43.2578125,62.77492609,2.372961027,4.199083392,69.14749922,1.226661999,0.459215959,1,e,b,y
55.6640625,34.21811411,2.704785472,11.609644,50.45689417,3.241780746,9.855860025,1,e,b,y
93.5546875,51.09684564,0.866202418,0.577738986,79.08014176,-0.25520488,-1.071280228,1,e,b,s
39.375,34.85348799,4.034706553,19.99365681,69.87893831,1.672327177,1.661392592,1,p,f,s
12.4765625,27.75449424,7.037477937,52.4585964,70.57405234,-0.176803256,-0.768255982,1,e,x,y
