 Excess kurtosis of the DM-SNR curve line, Excess kurtosis of the DM-SNR curve outlier candidate, Excess kurtosis of the integrated profile line, Excess kurtosis of the integrated profile outlier candidate, Mean of the DM-SNR curve line, Mean of the DM-SNR curve outlier candidate, Mean of the integrated profile line, Mean of the integrated profile outlier candidate, Skewness of the DM-SNR curve line, Skewness of the DM-SNR curve outlier candidate, Skewness of the integrated profile line, Skewness of the integrated profile outlier candidate, Standard deviation of the DM-SNR curve line, Standard deviation of the DM-SNR curve outlier candidate, Standard deviation of the integrated profile line, Standard deviation of the integrated profile outlier candidate,cap-shape line,cap-shape outlier candidate,cap-surface line,cap-surface outlier candidate,class line,class outlier candidate
4.0,19.03617062,4.0,-0.240785204,4.0,0.968227425,43.0,155.046875,4.0,469.5407905,4.0,-0.487395509,4.0,9.341388136,20.0,68.91609508,,,,,381.0,0.0
16.0,18.9541547,43.0,-0.401771128,16.0,0.920568562,61.0,143.109375,16.0,464.2133496,13.0,-0.558726642,16.0,9.371889853,63.0,65.52749779,,,,,514.0,0.0
26.0,18.19443105,44.0,-0.101815555,26.0,1.009197324,64.0,147.5234375,79.0,466.7812113,16.0,-0.696248578,26.0,9.705052421,149.0,79.08440748,,,,,860.0,0.0
79.0,19.29383965,61.0,-0.250942834,79.0,0.757525084,93.0,150.796875,148.0,590.2587782,17.0,-0.543944115,79.0,9.388835711,182.0,66.46426464,,,,,2404.0,0.0
145.0,18.58770705,64.0,-0.270451157,107.0,1.200668896,167.0,145.625,210.0,800.1119478,20.0,-1.342554186,148.0,8.81823759,282.0,72.8924705,,,,,3169.0,0.0
148.0,22.08963805,65.0,-0.266391407,143.0,1.198160535,215.0,160.15625,213.0,584.3789446,25.0,-0.453809418,202.0,9.776808016,290.0,69.22424499,,,,,,
202.0,19.83776014,89.0,-0.145550979,145.0,0.764214047,217.0,147.984375,224.0,533.3932663,39.0,-0.409539572,210.0,8.155357409,320.0,60.29166577,,,,,,
210.0,26.72061167,112.0,-0.276446079,148.0,0.683946488,251.0,147.28125,234.0,576.7457542,41.0,-0.438209802,213.0,8.956368126,356.0,76.08680947,,,,,,
213.0,22.76554322,148.0,-0.100562357,187.0,0.992474916,257.0,151.8671875,299.0,619.4467173,45.0,-0.555772288,224.0,9.033148369,362.0,69.39277468,,,,,,
224.0,20.54908805,153.0,-0.094764851,202.0,0.673913043,293.0,160.171875,312.0,526.41353,60.0,-0.371742333,234.0,8.938484839,409.0,63.60171125,,,,,,
