 Mean of the integrated profile, Standard deviation of the integrated profile, Excess kurtosis of the integrated profile, Skewness of the integrated profile, Mean of the DM-SNR curve, Standard deviation of the DM-SNR curve, Excess kurtosis of the DM-SNR curve, Skewness of the DM-SNR curve,target_class
120.09375,47.10102797,0.139785725,-0.083436963,0.574414716,8.687455738,23.80134612,646.0114,
113.9140625,43.83652646,0.176369676,0.57043538,1.130434783,11.69074943,14.60084853,254.7985642,
57.265625,34.56775149,2.602551079,10.98865798,19.17558528,57.08473083,2.918643281,7.086953376,
110.78125,50.94711374,0.210124578,-0.177414184,3.357023411,21.41531801,7.012186539,52.57281265,
127.5859375,48.12703362,0.042119015,-0.216270565,2.456521739,15.99829472,9.91901319,122.5725708,
134.734375,54.98657285,-0.13811222,-0.386839447,1.702341137,12.9425032,11.24565674,162.6596775,
111.65625,51.4877773,0.265149824,-0.476326038,2.175585284,14.0727662,10.26533262,133.2247703,
66.328125,34.32339521,1.868324907,8.293857813,3.232441472,23.99180081,7.844198726,62.8136825,
135.5546875,48.79049738,-0.065322332,-0.016150786,6.846989967,33.38126013,5.224843717,26.88936269,
91.84375,40.69003208,0.41715822,1.612388111,3.301839465,18.84117822,7.73764404,70.66591673,
113.0234375,46.63529793,0.017036428,0.413936776,1.746655518,13.17835704,11.30482065,162.8930733,
121.734375,49.3940603,0.09671134,-0.180427367,7.39632107,30.00195289,4.80378586,25.06846548,
100.921875,46.20142878,0.685814307,0.923027231,16.70234114,50.16184536,3.121537703,8.878925279,
100.0859375,40.11663218,0.550702236,1.469776022,2.553511706,20.50645496,8.760870096,80.3727066,
124.1484375,45.84298778,-0.013971566,0.047274182,2.955685619,19.02982722,8.565007742,84.60863022,
138.9140625,47.57740853,0.004164924,0.231512967,16.76839465,45.07128176,2.711844985,6.515475307,
95.0625,50.1634438,0.657025774,0.348162566,10.090301,38.94576719,4.103211971,16.36638029,
103.609375,54.22799588,0.826013141,0.202393894,1.299331104,13.36341908,15.16482643,248.3263169,
111.2265625,42.46914594,0.068314547,0.654309872,2.429765886,19.11869063,8.992333348,87.80893149,
101.609375,35.20370062,0.324266411,2.308084162,8.678093645,32.80890075,4.139946773,17.50678191,
131.5390625,53.65775549,0.148300116,-0.487113554,4.431438127,25.56010324,6.124397015,38.48226294,
139.2890625,48.8532804,-0.417136329,-0.079279724,4.717391304,25.18527464,6.113336192,39.63018312,
164.5078125,53.39080505,-0.814920527,0.093952845,77.57107023,73.18985573,0.120594822,-1.60683811,
91.7734375,42.46969781,1.547537612,3.486250189,150.5443144,92.77363329,-0.530580801,-1.270990164,
18.6015625,30.35862209,5.391922104,32.93033316,25.4590301,53.41195512,2.392436733,5.294008356,
144.5078125,46.26317314,-0.260833314,0.503275398,2.155518395,16.95343499,9.211907108,94.6420328,
91.234375,45.58259748,1.000568549,1.596992372,61.96655518,91.03407546,0.984922339,-0.851968351,
122.1640625,42.34655707,-0.036628265,0.328134677,2.788461538,15.73158744,7.89612168,81.50288888,
121.609375,52.28291941,0.028331699,-0.336576647,1.883779264,12.35859298,11.33630832,177.2589225,
124.4296875,41.08274493,-0.069510812,0.47208847,2.183110368,13.36792506,10.50906048,146.435339,
121.375,42.96964772,0.132747723,0.5776409,0.878762542,12.13419326,16.34060921,292.9766289,
112.4453125,41.69603709,0.618890266,1.126564786,6.392976589,32.71782293,5.357518634,28.52583016,
92.65625,35.86943282,0.635585857,2.552299049,2.247491639,15.68531316,9.600877421,108.404534,
127.4375,39.36998976,0.22001907,1.01499677,3.524247492,20.89618984,8.12265596,73.70685509,
54.2578125,41.58223142,2.979317847,10.13826609,159.611204,64.79219555,-0.9365192,0.093108123,
