 Mean of the integrated profile, Standard deviation of the integrated profile, Excess kurtosis of the integrated profile, Skewness of the integrated profile, Mean of the DM-SNR curve, Standard deviation of the DM-SNR curve, Excess kurtosis of the DM-SNR curve, Skewness of the DM-SNR curve,target_class
127.21875,52.829315,0.002669671,-0.340639178,4.744983278,29.02281452,6.74557524,46.32887653,0
62.9609375,33.97733674,2.622388619,11.01241526,48.86705686,65.57206369,1.432434525,1.130669269,1
20.5859375,38.95099633,4.107440317,17.45892291,61.43645485,66.93227852,1.363742553,0.809833128,1
115.3125,45.55384005,0.079757913,0.117272504,2.734113712,18.96810049,8.629467207,83.07747744,0
140.9921875,52.42978878,-0.240785204,-0.487395509,0.968227425,9.341388136,19.03617062,469.5407905,0
115.421875,46.76898167,0.319480535,0.097424128,1.931438127,12.57812967,11.1432209,170.0867851,0
112.765625,47.82822199,0.632487749,0.254354993,1.766722408,13.307274,10.58392149,143.8947196,0
116.6015625,39.02409909,-0.00290081,1.317668615,2.738294314,15.70647051,9.226737669,107.7007003,0
71.6875,37.18109188,2.41964783,9.425293376,13.37876254,45.80014587,3.709283857,13.24802578,1
66.90625,44.57217418,2.491686945,6.426508686,20.9632107,53.43976058,2.621427166,6.054930195,1
15.0390625,37.81459753,5.105033067,25.49731091,159.8494983,76.74001035,-0.575016194,-0.941293199,1
30.859375,39.68326441,3.897921826,15.72025702,70.27173913,64.29044596,1.103161105,0.564051451,1
70.4140625,33.99115863,2.516344328,10.94399986,23.41053512,53.20625786,2.521580598,5.807819023,1
130.8828125,52.24859763,-0.080306594,-0.558726642,53.26254181,81.48426383,1.137613402,-0.354459296,0
105.0859375,50.35670067,0.290414565,-0.194580928,2.413879599,20.31351531,9.417017511,92.95199098,0
84.8203125,40.78304519,0.685524661,1.521941752,1.304347826,14.47784657,13.66538977,203.0317166,0
130.6640625,54.51637904,-0.034592426,-0.696248578,0.920568562,9.371889853,18.9541547,464.2133496,0
130.2734375,58.02016283,0.032684959,-0.543944115,39.42892977,66.59478471,1.516460084,0.962192789,0
48.0078125,34.27838607,3.247050207,14.44099494,30.99414716,58.83101018,2.087576811,3.598581154,1
57.8671875,35.14509458,3.392913848,14.63329698,24.85702341,57.36983632,2.549469547,5.703453999,1
117.0390625,68.91609508,0.004967201,-1.342554186,73.5819398,96.2136739,0.632783665,-1.413285968,0
115.890625,38.29067167,0.173415618,0.937931334,1.981605351,13.70818651,11.6402738,167.7484297,0
100.21875,44.3501581,0.359963261,0.409074995,7.419732441,30.43696944,5.139542597,29.10876971,0
53.0234375,39.59274414,2.589680218,8.870819374,9.274247492,36.46939486,4.777219591,24.12806091,1
137.3984375,44.43646093,0.184818786,0.378972016,1.621237458,13.15311873,12.70289098,200.7989359,0
106.7734375,52.00649221,0.214592301,-0.453809418,2.096153846,15.12146867,9.676235451,111.128099,0
122.4609375,51.0457672,-0.043539364,0.008193438,1.009197324,9.705052421,18.19443105,420.2869265,0
103.6796875,36.38400524,0.806300387,3.279463576,2.321906355,13.56050069,9.548849097,126.3620126,1
123.53125,47.81506325,0.246140817,0.189351135,1.726588629,11.8283287,12.00072618,201.4552073,0
8.2421875,31.03494656,7.005739422,49.67224062,137.8528428,67.04329019,-0.062367311,-1.092932703,1
130.3203125,44.74038542,-0.036270103,0.718567076,1.683946488,17.73614047,12.08396999,152.9791204,0
19.6875,43.1521201,3.76633529,14.057489,132.6956522,65.79586868,-0.29502055,-0.515455096,1
107.1640625,50.48340961,0.433562253,-0.013717891,1.513377926,12.74331046,11.61782664,170.7879083,0
49.0,31.46277562,3.50056118,18.93691145,7.443979933,30.92948673,4.988605266,26.94509399,1
129.2109375,49.13480378,0.014687015,-0.229723813,1.860367893,14.81174174,10.72950087,136.6400324,0
126.59375,44.03362307,0.395201879,0.587599599,2.502508361,14.79545579,8.664355707,99.15160653,0
100.7109375,58.65512983,0.609798293,-0.080564269,2.910535117,16.79144718,8.233593806,83.77781206,0
30.5234375,30.16257119,4.775271827,27.99670281,116.6897993,79.56794868,-0.11736604,-1.003246153,1
131.640625,46.49289838,-0.046937291,0.334123057,2.184782609,13.16750088,10.22020671,144.1410252,0
123.390625,52.02677111,-0.009862807,-0.409539572,2.510033445,19.30430661,9.405455418,96.53372099,0
121.15625,47.20276036,0.29573703,0.480364736,1.782608696,13.39399975,11.04035422,155.4962355,0
125.3203125,55.91203102,0.174962397,-0.438209802,5.54180602,30.05278118,5.724635874,32.87357994,0
78.859375,36.95092488,0.743391217,3.189444085,7.641304348,34.51013035,4.629812752,20.79994994,0
155.046875,42.73169553,-0.401771128,0.829548954,4.321070234,28.79539036,7.097425454,51.2192736,0
131.40625,48.10509938,-0.101815555,0.533579352,1.481605351,14.26248779,11.72322599,156.5752387,0
